"(46.856482954954956, 6.5807, 1205.972290039062)"
"(46.86549196396396, 6.5807, 1409.16845703125)"
"(46.874500972972974, 6.5807, 1414.99853515625)"
"(46.88350998198198, 6.5807, 1243.760009765625)"
"(46.89251899099099, 6.5807, 815.5699462890625)"
"(46.901528, 6.5807, 745.8551025390625)"
"(46.91053700900901, 6.5807, 933.3185424804688)"
"(46.91954601801802, 6.5807, 1122.43994140625)"
"(46.92855502702703, 6.5807, 1167.352416992188)"
"(46.937564036036036, 6.5807, 1146.417846679688)"
